statement_id,company,theme_true,statement_text
32,Trailhead Outdoors,philanthropy,Trailhead Outdoors donated over one million dollars to community environmental education programs this year.
114,Nimbus Retail,certifications,This year Nimbus Retail achieved B-Corp style certification for its social and environmental performance.
26,Nimbus Retail,philanthropy,Nimbus Retail donated over one million dollars to community environmental education programs this year.
79,PureWell Cosmetics,sustainability_pledge_vague,"PureWell Cosmetics believes in building a better, greener future for generations to come."
138,Nimbus Retail,supply_chain,Nimbus Retail is expanding supplier transparency initiatives to trace materials back to their origin.
144,Trailhead Outdoors,supply_chain,Trailhead Outdoors is expanding supplier transparency initiatives to trace materials back to their origin.
59,BrightPath Foods,diversity_inclusion,Our leadership team at BrightPath Foods reflects a broad range of backgrounds and lived experiences.
129,GreenLeaf Corp,supply_chain,Our supply chain partners at GreenLeaf Corp undergo regular audits to verify ethical labor standards.
97,GreenLeaf Corp,certifications,GreenLeaf Corp products are now certified under leading global sustainability and fair-trade standards.
37,UrbanCraft Goods,philanthropy,"Through the UrbanCraft Goods Foundation, we support local charities focused on clean water access."
102,Cobalt Electronics,certifications,Cobalt Electronics products are now certified under leading global sustainability and fair-trade standards.
38,Cobalt Electronics,philanthropy,"Through the Cobalt Electronics Foundation, we support local charities focused on clean water access."
131,BrightPath Foods,supply_chain,Our supply chain partners at BrightPath Foods undergo regular audits to verify ethical labor standards.
135,PureWell Cosmetics,supply_chain,Our supply chain partners at PureWell Cosmetics undergo regular audits to verify ethical labor standards.
47,PureWell Cosmetics,philanthropy,PureWell Cosmetics employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
33,GreenLeaf Corp,philanthropy,"Through the GreenLeaf Corp Foundation, we support local charities focused on clean water access."
96,Trailhead Outdoors,sustainability_pledge_vague,Trailhead Outdoors strives to minimize its environmental footprint through continuous innovation.
68,Solara Apparel,diversity_inclusion,Solara Apparel launched new mentorship programs to support underrepresented employees company-wide.
36,Solara Apparel,philanthropy,"Through the Solara Apparel Foundation, we support local charities focused on clean water access."
141,UrbanCraft Goods,supply_chain,UrbanCraft Goods is expanding supplier transparency initiatives to trace materials back to their origin.
95,PureWell Cosmetics,sustainability_pledge_vague,PureWell Cosmetics strives to minimize its environmental footprint through continuous innovation.
117,UrbanCraft Goods,certifications,This year UrbanCraft Goods achieved B-Corp style certification for its social and environmental performance.
119,PureWell Cosmetics,certifications,This year PureWell Cosmetics achieved B-Corp style certification for its social and environmental performance.
73,GreenLeaf Corp,sustainability_pledge_vague,"GreenLeaf Corp believes in building a better, greener future for generations to come."
12,Solara Apparel,carbon_neutrality_pledge,Solara Apparel has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
84,Solara Apparel,sustainability_pledge_vague,"Sustainability is at the heart of everything Solara Apparel does, from sourcing to shipping."
65,GreenLeaf Corp,diversity_inclusion,GreenLeaf Corp launched new mentorship programs to support underrepresented employees company-wide.
45,UrbanCraft Goods,philanthropy,UrbanCraft Goods employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
80,Trailhead Outdoors,sustainability_pledge_vague,"Trailhead Outdoors believes in building a better, greener future for generations to come."
66,Nimbus Retail,diversity_inclusion,Nimbus Retail launched new mentorship programs to support underrepresented employees company-wide.
19,BrightPath Foods,carbon_neutrality_pledge,Our roadmap at BrightPath Foods outlines a science-based target to cut greenhouse gas emissions by 50% this decade.
109,UrbanCraft Goods,certifications,UrbanCraft Goods has earned recognition from independent auditors for responsible sourcing practices.
81,GreenLeaf Corp,sustainability_pledge_vague,"Sustainability is at the heart of everything GreenLeaf Corp does, from sourcing to shipping."
142,Cobalt Electronics,supply_chain,Cobalt Electronics is expanding supplier transparency initiatives to trace materials back to their origin.
94,Cobalt Electronics,sustainability_pledge_vague,Cobalt Electronics strives to minimize its environmental footprint through continuous innovation.
10,Nimbus Retail,carbon_neutrality_pledge,Nimbus Retail has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
40,Trailhead Outdoors,philanthropy,"Through the Trailhead Outdoors Foundation, we support local charities focused on clean water access."
13,UrbanCraft Goods,carbon_neutrality_pledge,UrbanCraft Goods has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
16,Trailhead Outdoors,carbon_neutrality_pledge,Trailhead Outdoors has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
92,Solara Apparel,sustainability_pledge_vague,Solara Apparel strives to minimize its environmental footprint through continuous innovation.
101,UrbanCraft Goods,certifications,UrbanCraft Goods products are now certified under leading global sustainability and fair-trade standards.
5,UrbanCraft Goods,carbon_neutrality_pledge,UrbanCraft Goods is committed to achieving net-zero carbon emissions by 2040 across our global operations.
42,Nimbus Retail,philanthropy,Nimbus Retail employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
15,PureWell Cosmetics,carbon_neutrality_pledge,PureWell Cosmetics has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
23,PureWell Cosmetics,carbon_neutrality_pledge,Our roadmap at PureWell Cosmetics outlines a science-based target to cut greenhouse gas emissions by 50% this decade.
72,Trailhead Outdoors,diversity_inclusion,Trailhead Outdoors launched new mentorship programs to support underrepresented employees company-wide.
85,UrbanCraft Goods,sustainability_pledge_vague,"Sustainability is at the heart of everything UrbanCraft Goods does, from sourcing to shipping."
48,Trailhead Outdoors,philanthropy,Trailhead Outdoors employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
2,Nimbus Retail,carbon_neutrality_pledge,Nimbus Retail is committed to achieving net-zero carbon emissions by 2040 across our global operations.
31,PureWell Cosmetics,philanthropy,PureWell Cosmetics donated over one million dollars to community environmental education programs this year.
6,Cobalt Electronics,carbon_neutrality_pledge,Cobalt Electronics is committed to achieving net-zero carbon emissions by 2040 across our global operations.
76,Solara Apparel,sustainability_pledge_vague,"Solara Apparel believes in building a better, greener future for generations to come."
108,Solara Apparel,certifications,Solara Apparel has earned recognition from independent auditors for responsible sourcing practices.
58,Nimbus Retail,diversity_inclusion,Our leadership team at Nimbus Retail reflects a broad range of backgrounds and lived experiences.
103,PureWell Cosmetics,certifications,PureWell Cosmetics products are now certified under leading global sustainability and fair-trade standards.
25,GreenLeaf Corp,philanthropy,GreenLeaf Corp donated over one million dollars to community environmental education programs this year.
57,GreenLeaf Corp,diversity_inclusion,Our leadership team at GreenLeaf Corp reflects a broad range of backgrounds and lived experiences.
140,Solara Apparel,supply_chain,Solara Apparel is expanding supplier transparency initiatives to trace materials back to their origin.
120,Trailhead Outdoors,certifications,This year Trailhead Outdoors achieved B-Corp style certification for its social and environmental performance.
83,BrightPath Foods,sustainability_pledge_vague,"Sustainability is at the heart of everything BrightPath Foods does, from sourcing to shipping."
143,PureWell Cosmetics,supply_chain,PureWell Cosmetics is expanding supplier transparency initiatives to trace materials back to their origin.
14,Cobalt Electronics,carbon_neutrality_pledge,Cobalt Electronics has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
21,UrbanCraft Goods,carbon_neutrality_pledge,Our roadmap at UrbanCraft Goods outlines a science-based target to cut greenhouse gas emissions by 50% this decade.
100,Solara Apparel,certifications,Solara Apparel products are now certified under leading global sustainability and fair-trade standards.
34,Nimbus Retail,philanthropy,"Through the Nimbus Retail Foundation, we support local charities focused on clean water access."
7,PureWell Cosmetics,carbon_neutrality_pledge,PureWell Cosmetics is committed to achieving net-zero carbon emissions by 2040 across our global operations.
24,Trailhead Outdoors,carbon_neutrality_pledge,Our roadmap at Trailhead Outdoors outlines a science-based target to cut greenhouse gas emissions by 50% this decade.
77,UrbanCraft Goods,sustainability_pledge_vague,"UrbanCraft Goods believes in building a better, greener future for generations to come."
124,Solara Apparel,supply_chain,Solara Apparel works closely with suppliers to ensure fair wages and safe working conditions.
55,PureWell Cosmetics,diversity_inclusion,PureWell Cosmetics is proud of its diverse workforce and ongoing commitment to equitable hiring practices.
137,GreenLeaf Corp,supply_chain,GreenLeaf Corp is expanding supplier transparency initiatives to trace materials back to their origin.
104,Trailhead Outdoors,certifications,Trailhead Outdoors products are now certified under leading global sustainability and fair-trade standards.
51,BrightPath Foods,diversity_inclusion,BrightPath Foods is proud of its diverse workforce and ongoing commitment to equitable hiring practices.
128,Trailhead Outdoors,supply_chain,Trailhead Outdoors works closely with suppliers to ensure fair wages and safe working conditions.
118,Cobalt Electronics,certifications,This year Cobalt Electronics achieved B-Corp style certification for its social and environmental performance.
17,GreenLeaf Corp,carbon_neutrality_pledge,Our roadmap at GreenLeaf Corp outlines a science-based target to cut greenhouse gas emissions by 50% this decade.
111,PureWell Cosmetics,certifications,PureWell Cosmetics has earned recognition from independent auditors for responsible sourcing practices.
22,Cobalt Electronics,carbon_neutrality_pledge,Our roadmap at Cobalt Electronics outlines a science-based target to cut greenhouse gas emissions by 50% this decade.
52,Solara Apparel,diversity_inclusion,Solara Apparel is proud of its diverse workforce and ongoing commitment to equitable hiring practices.
44,Solara Apparel,philanthropy,Solara Apparel employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
93,UrbanCraft Goods,sustainability_pledge_vague,UrbanCraft Goods strives to minimize its environmental footprint through continuous innovation.
4,Solara Apparel,carbon_neutrality_pledge,Solara Apparel is committed to achieving net-zero carbon emissions by 2040 across our global operations.
87,PureWell Cosmetics,sustainability_pledge_vague,"Sustainability is at the heart of everything PureWell Cosmetics does, from sourcing to shipping."
56,Trailhead Outdoors,diversity_inclusion,Trailhead Outdoors is proud of its diverse workforce and ongoing commitment to equitable hiring practices.
35,BrightPath Foods,philanthropy,"Through the BrightPath Foods Foundation, we support local charities focused on clean water access."
88,Trailhead Outdoors,sustainability_pledge_vague,"Sustainability is at the heart of everything Trailhead Outdoors does, from sourcing to shipping."
63,PureWell Cosmetics,diversity_inclusion,Our leadership team at PureWell Cosmetics reflects a broad range of backgrounds and lived experiences.
29,UrbanCraft Goods,philanthropy,UrbanCraft Goods donated over one million dollars to community environmental education programs this year.
78,Cobalt Electronics,sustainability_pledge_vague,"Cobalt Electronics believes in building a better, greener future for generations to come."
112,Trailhead Outdoors,certifications,Trailhead Outdoors has earned recognition from independent auditors for responsible sourcing practices.
69,UrbanCraft Goods,diversity_inclusion,UrbanCraft Goods launched new mentorship programs to support underrepresented employees company-wide.
106,Nimbus Retail,certifications,Nimbus Retail has earned recognition from independent auditors for responsible sourcing practices.
105,GreenLeaf Corp,certifications,GreenLeaf Corp has earned recognition from independent auditors for responsible sourcing practices.
39,PureWell Cosmetics,philanthropy,"Through the PureWell Cosmetics Foundation, we support local charities focused on clean water access."
46,Cobalt Electronics,philanthropy,Cobalt Electronics employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
1,GreenLeaf Corp,carbon_neutrality_pledge,GreenLeaf Corp is committed to achieving net-zero carbon emissions by 2040 across our global operations.
136,Trailhead Outdoors,supply_chain,Our supply chain partners at Trailhead Outdoors undergo regular audits to verify ethical labor standards.
49,GreenLeaf Corp,diversity_inclusion,GreenLeaf Corp is proud of its diverse workforce and ongoing commitment to equitable hiring practices.
132,Solara Apparel,supply_chain,Our supply chain partners at Solara Apparel undergo regular audits to verify ethical labor standards.
98,Nimbus Retail,certifications,Nimbus Retail products are now certified under leading global sustainability and fair-trade standards.
3,BrightPath Foods,carbon_neutrality_pledge,BrightPath Foods is committed to achieving net-zero carbon emissions by 2040 across our global operations.
90,Nimbus Retail,sustainability_pledge_vague,Nimbus Retail strives to minimize its environmental footprint through continuous innovation.
75,BrightPath Foods,sustainability_pledge_vague,"BrightPath Foods believes in building a better, greener future for generations to come."
99,BrightPath Foods,certifications,BrightPath Foods products are now certified under leading global sustainability and fair-trade standards.
121,GreenLeaf Corp,supply_chain,GreenLeaf Corp works closely with suppliers to ensure fair wages and safe working conditions.
110,Cobalt Electronics,certifications,Cobalt Electronics has earned recognition from independent auditors for responsible sourcing practices.
107,BrightPath Foods,certifications,BrightPath Foods has earned recognition from independent auditors for responsible sourcing practices.
27,BrightPath Foods,philanthropy,BrightPath Foods donated over one million dollars to community environmental education programs this year.
8,Trailhead Outdoors,carbon_neutrality_pledge,Trailhead Outdoors is committed to achieving net-zero carbon emissions by 2040 across our global operations.
127,PureWell Cosmetics,supply_chain,PureWell Cosmetics works closely with suppliers to ensure fair wages and safe working conditions.
60,Solara Apparel,diversity_inclusion,Our leadership team at Solara Apparel reflects a broad range of backgrounds and lived experiences.
126,Cobalt Electronics,supply_chain,Cobalt Electronics works closely with suppliers to ensure fair wages and safe working conditions.
43,BrightPath Foods,philanthropy,BrightPath Foods employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
53,UrbanCraft Goods,diversity_inclusion,UrbanCraft Goods is proud of its diverse workforce and ongoing commitment to equitable hiring practices.
54,Cobalt Electronics,diversity_inclusion,Cobalt Electronics is proud of its diverse workforce and ongoing commitment to equitable hiring practices.
9,GreenLeaf Corp,carbon_neutrality_pledge,GreenLeaf Corp has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
28,Solara Apparel,philanthropy,Solara Apparel donated over one million dollars to community environmental education programs this year.
91,BrightPath Foods,sustainability_pledge_vague,BrightPath Foods strives to minimize its environmental footprint through continuous innovation.
123,BrightPath Foods,supply_chain,BrightPath Foods works closely with suppliers to ensure fair wages and safe working conditions.
89,GreenLeaf Corp,sustainability_pledge_vague,GreenLeaf Corp strives to minimize its environmental footprint through continuous innovation.
50,Nimbus Retail,diversity_inclusion,Nimbus Retail is proud of its diverse workforce and ongoing commitment to equitable hiring practices.
30,Cobalt Electronics,philanthropy,Cobalt Electronics donated over one million dollars to community environmental education programs this year.
133,UrbanCraft Goods,supply_chain,Our supply chain partners at UrbanCraft Goods undergo regular audits to verify ethical labor standards.
18,Nimbus Retail,carbon_neutrality_pledge,Our roadmap at Nimbus Retail outlines a science-based target to cut greenhouse gas emissions by 50% this decade.
11,BrightPath Foods,carbon_neutrality_pledge,BrightPath Foods has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
130,Nimbus Retail,supply_chain,Our supply chain partners at Nimbus Retail undergo regular audits to verify ethical labor standards.
115,BrightPath Foods,certifications,This year BrightPath Foods achieved B-Corp style certification for its social and environmental performance.
82,Nimbus Retail,sustainability_pledge_vague,"Sustainability is at the heart of everything Nimbus Retail does, from sourcing to shipping."
86,Cobalt Electronics,sustainability_pledge_vague,"Sustainability is at the heart of everything Cobalt Electronics does, from sourcing to shipping."
70,Cobalt Electronics,diversity_inclusion,Cobalt Electronics launched new mentorship programs to support underrepresented employees company-wide.
61,UrbanCraft Goods,diversity_inclusion,Our leadership team at UrbanCraft Goods reflects a broad range of backgrounds and lived experiences.
74,Nimbus Retail,sustainability_pledge_vague,"Nimbus Retail believes in building a better, greener future for generations to come."
20,Solara Apparel,carbon_neutrality_pledge,Our roadmap at Solara Apparel outlines a science-based target to cut greenhouse gas emissions by 50% this decade.
113,GreenLeaf Corp,certifications,This year GreenLeaf Corp achieved B-Corp style certification for its social and environmental performance.
139,BrightPath Foods,supply_chain,BrightPath Foods is expanding supplier transparency initiatives to trace materials back to their origin.
62,Cobalt Electronics,diversity_inclusion,Our leadership team at Cobalt Electronics reflects a broad range of backgrounds and lived experiences.
125,UrbanCraft Goods,supply_chain,UrbanCraft Goods works closely with suppliers to ensure fair wages and safe working conditions.
134,Cobalt Electronics,supply_chain,Our supply chain partners at Cobalt Electronics undergo regular audits to verify ethical labor standards.
71,PureWell Cosmetics,diversity_inclusion,PureWell Cosmetics launched new mentorship programs to support underrepresented employees company-wide.
64,Trailhead Outdoors,diversity_inclusion,Our leadership team at Trailhead Outdoors reflects a broad range of backgrounds and lived experiences.
67,BrightPath Foods,diversity_inclusion,BrightPath Foods launched new mentorship programs to support underrepresented employees company-wide.
116,Solara Apparel,certifications,This year Solara Apparel achieved B-Corp style certification for its social and environmental performance.
122,Nimbus Retail,supply_chain,Nimbus Retail works closely with suppliers to ensure fair wages and safe working conditions.
41,GreenLeaf Corp,philanthropy,GreenLeaf Corp employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
